function_name,arguments,return_type,security
geometry_within,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_within_nd,"geometry, geometry",boolean,SECURITY INVOKER
geometrytype,geometry,text,SECURITY INVOKER
geometrytype,geography,text,SECURITY INVOKER
geomfromewkb,bytea,geometry,SECURITY INVOKER
geomfromewkt,text,geometry,SECURITY INVOKER
get_available_pickup_dates,p_listing_id uuid,"TABLE(market_id uuid, market_name text, market_type text, address text, city text, state text, schedule_id uuid, day_of_week integer, pickup_date date, start_time time without time zone, end_time time without time zone, cutoff_at timestamp with time zone, is_accepting boolean, hours_until_cutoff numeric, cutoff_hours integer)",SECURITY DEFINER
get_booth_credit_expiry_state,,"TABLE(vendor_profile_id uuid, market_id uuid, balance_cents bigint, has_live_grant boolean, nearest_live_grant_expiry timestamp with time zone)",SECURITY DEFINER
get_buyer_order_ids,,SETOF uuid,SECURITY DEFINER
get_cart_summary,p_cart_id uuid,"TABLE(total_items bigint, total_cents bigint, vendor_count bigint)",SECURITY DEFINER
get_event_waves_with_availability,p_market_id uuid,"TABLE(wave_id uuid, wave_number integer, start_time time without time zone, end_time time without time zone, capacity integer, reserved_count integer, remaining integer, status text)",SECURITY DEFINER
get_listing_fields,v_id text,jsonb,SECURITY DEFINER
get_listing_market_availability,p_listing_id uuid,jsonb,SECURITY INVOKER
get_listing_markets_summary,p_listing_id uuid,"TABLE(market_id uuid, market_name text, market_type text, address text, city text, state text, day_of_week integer, start_time time without time zone, end_time time without time zone)",SECURITY DEFINER
get_listing_open_markets,p_listing_id uuid,"TABLE(market_id uuid, market_name text, market_type text, address text, city text, state text, is_accepting boolean, next_pickup_at timestamp with time zone)",SECURITY DEFINER
get_listings_accepting_status,"p_listing_ids uuid[], p_exclude_event_markets boolean DEFAULT false","TABLE(listing_id uuid, is_accepting boolean, hours_until_cutoff numeric, cutoff_hours integer)",SECURITY DEFINER
get_listings_within_radius,"user_lat numeric, user_lng numeric, radius_miles numeric DEFAULT 25, vertical_filter text DEFAULT NULL::text, category_filter text DEFAULT NULL::text, search_term text DEFAULT NULL::text, page_size integer DEFAULT 50, page_offset integer DEFAULT 0","TABLE(listing_id uuid, title text, description text, price_cents integer, quantity integer, quantity_amount numeric, quantity_unit text, category text, created_at timestamp with time zone, vendor_profile_id uuid, listing_data jsonb, premium_window_ends_at timestamp with time zone, vendor_id uuid, vendor_profile_data jsonb, vendor_status text, vendor_tier text, vendor_tier_started_at timestamp with time zone, nearest_market_distance_miles numeric, total_count bigint)",SECURITY DEFINER
get_market_cutoff,p_market_id uuid,timestamp with time zone,SECURITY INVOKER
